"filename", "language", "Python", "JSON", "XML", "YAML", "Docker", "Shell Script", "comment", "blank", "total"
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\aws\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\aws\mime.sh", "Shell Script", 0, 0, 0, 0, 0, 15, 6, 6, 27
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\aws\resume.py", "Python", 25, 0, 0, 0, 0, 0, 4, 9, 38
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\aws\userdata.sh", "Shell Script", 0, 0, 0, 0, 0, 20, 6, 2, 28
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\datasets.py", "Python", 760, 0, 0, 0, 0, 0, 116, 189, 1065
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\general.py", "Python", 420, 0, 0, 0, 0, 0, 69, 116, 605
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\google_app_engine\Dockerfile", "Docker", 0, 0, 0, 0, 9, 0, 10, 7, 26
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\google_app_engine\app.yaml", "YAML", 0, 0, 0, 11, 0, 0, 0, 3, 14
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\google_utils.py", "Python", 72, 0, 0, 0, 0, 0, 33, 18, 123
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\loss.py", "Python", 147, 0, 0, 0, 0, 0, 28, 42, 217
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\metrics.py", "Python", 160, 0, 0, 0, 0, 0, 21, 43, 224
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\plots.py", "Python", 322, 0, 0, 0, 0, 0, 43, 69, 434
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\torch_utils.py", "Python", 212, 0, 0, 0, 0, 0, 34, 58, 304
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\wandb_logging\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\wandb_logging\log_dataset.py", "Python", 16, 0, 0, 0, 0, 0, 0, 9, 25
"e:\Competition\ChuangXinBei\face\Face_recognition\utils\wandb_logging\wandb_utils.py", "Python", 271, 0, 0, 0, 0, 0, 5, 31, 307
"Total", "-", 5110, 5, 47558, 723, 9, 35, 821, 1418, 55679
